name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
13 Roeles solar farm,--,,Spain,14.9,operating,2020.0,,Quinto Armónico [100%],41.3326,-4.9094,exact,Castilla y León,L100000824285,G100000827392,GEM Global Solar Power Tracker Feb-2026
Abanilla A solar project,--,,Spain,6.3,operating,2017.0,,,38.1905,-1.0109,exact,Región de Murcia,L100001009197,G100001010567,GEM Global Solar Power Tracker Feb-2026
Abarloar solar farm,--,,Spain,82.5,pre-construction,,,Abarloar Solar SL [100%],40.4254,-3.1831,approximate,Comunidad de Madrid,L100000824286,G100000827393,GEM Global Solar Power Tracker Feb-2026
Abedul 2 New Energy solar farm,--,,Spain,51.6,pre-construction,,Progressum Energy Developments,Progressum Energy Developments [100%],41.6142,-0.7043,approximate,Aragón,L100000824287,G100000827394,GEM Global Solar Power Tracker Feb-2026
Abedul IV solar farm,--,,Spain,49.8,pre-construction,,,,41.7153,-0.6278,exact,Andalucía,L100001062081,G100001071222,GEM Global Solar Power Tracker Feb-2026
Abedul V solar farm,--,,Spain,24.9,pre-construction,,,,41.6914,-0.6336,exact,Aragón,L100001062082,G100001071223,GEM Global Solar Power Tracker Feb-2026
Abedul VI solar farm,--,,Spain,49.8,pre-construction,,,,41.7325,-0.6806,exact,Aragón,L100001062080,G100001071221,GEM Global Solar Power Tracker Feb-2026
Abenójar solar project,--,,Spain,7.6,operating,2017.0,,,38.8979,-4.3661,exact,Castilla-La Mancha,L100001009150,G100001010520,GEM Global Solar Power Tracker Feb-2026
Abertura solar farm,1,,Spain,23.0,operating,2008.0,Iberdrola,LongSol [100%],39.2226,-5.7853,exact,Extremadura,L100000805860,G100000806742,GEM Global Solar Power Tracker Feb-2026
Abeto New Energy solar farm,--,,Spain,75.0,pre-construction,,,Abeto New Energy SLU [100%],42.4927,-1.6669,approximate,Aragón,L100001003309,G100001003790,GEM Global Solar Power Tracker Feb-2026
Abeto solar farm,--,,Spain,50.0,pre-construction,,Abeto Solar,Total Solar Ibérica [100%],40.3974,-3.3104,approximate,Comunidad de Madrid,L100000824288,G100000827395,GEM Global Solar Power Tracker Feb-2026
Ablitas solar project,--,,Spain,6.9,operating,2023.0,,,42.0061,-1.6916,exact,Comunidad Foral de Navarra,L100001009219,G100001010589,GEM Global Solar Power Tracker Feb-2026
Abona solar project,--,,Spain,17.3,operating,2017.0,,,28.1606,-16.4659,exact,Canarias,L100001009235,G100001010605,GEM Global Solar Power Tracker Feb-2026
Abuela Santa Ana Hybrid solar farm,--,,Spain,42.6,pre-construction,,,,39.0608,-1.5032,approximate,Castilla-La Mancha,L100001063979,G100001073573,GEM Global Solar Power Tracker Feb-2026
Abuzaderas solar project,--,,Spain,6.4,operating,2017.0,,,38.7631,-1.7792,exact,Castilla-La Mancha,L100001009091,G100001010461,GEM Global Solar Power Tracker Feb-2026
Acampo Arpal solar farm,--,,Spain,9.2,operating,2023.0,,EDPR Renewable Energy Sources of Greece 1 Sole Proprietorship [100%],41.5712,-0.8315,approximate,Aragón,L100000824289,G100000827396,GEM Global Solar Power Tracker Feb-2026
Acampo Estrén solar farm,--,,Spain,24.9,pre-construction,,,Parque Fotovoltaico Estrén SL [100%],41.5468,-0.8604,approximate,Aragón,L100001000586,G100001000897,GEM Global Solar Power Tracker Feb-2026
Acampo de Orús solar farm,--,,Spain,258.9,shelved - inferred 2 y,,Ener Delta,,41.3473,-0.7809,approximate,Aragón,L100000824290,G100000827397,GEM Global Solar Power Tracker Feb-2026
Acebuche solar farm,--,,Spain,50.0,pre-construction,,,Hanwha Energy Corp,38.659,-4.2902,approximate,Castilla-La Mancha,L100001005471,G100001006511,GEM Global Solar Power Tracker Feb-2026
Aceca Hybrid solar farm,--,,Spain,347.5,pre-construction,,,Iberdrola SA,39.9448,-3.8557,approximate,Castilla-La Mancha,L100001063765,G100001073302,GEM Global Solar Power Tracker Feb-2026
Acequia solar farm,--,,Spain,42.5,pre-construction,,,Acequia Solar SL [100%],40.6587,-3.1626,approximate,Castilla-La Mancha,L100000824291,G100000827398,GEM Global Solar Power Tracker Feb-2026
Actiu Technological Park solar project,--,,Spain,3.7,operating,2017.0,,,38.6062,-0.6593,exact,Comunidad Valenciana,L100001009269,G100001010639,GEM Global Solar Power Tracker Feb-2026
Actuel solar farm,--,,Spain,100.0,announced,,,,40.3592,-1.1411,approximate,Aragón,L100001064029,G100001073631,GEM Global Solar Power Tracker Feb-2026
Adaja 1 solar farm,--,,Spain,51.7,pre-construction,,,Rin Power,41.8676,-3.5387,approximate,Castilla y León,L100001005629,G100001006749,GEM Global Solar Power Tracker Feb-2026
Adeje solar farm,--,,Spain,50.0,pre-construction,,,Adeje Solar SL [100%],41.4485,0.6647,approximate,Cataluña,L100001000846,G100001001203,GEM Global Solar Power Tracker Feb-2026
Adelfa solar farm,--,,Spain,50.0,pre-construction,,Adelfa Solar,Ignis Energía SL [100%],42.1185,-4.6629,approximate,Castilla y León,L100001004644,G100001005448,GEM Global Solar Power Tracker Feb-2026
Adolfo Suárez Madrid-Barajas Airport solar farm,1,,Spain,7.5,pre-construction,2027.0,,Aeropuertos Españoles y Navegación Aérea (AENA) [100%],40.4984,-3.5676,exact,Comunidad de Madrid,L100000824292,G100000827399,GEM Global Solar Power Tracker Feb-2026
